"Students from Ireland and Northern Ireland Enrolled in Third Level"
"Institutions (Number) by Type of Institution, County of Origin and Year"

" "," ","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
" ","Dublin",..,..,..,..,..,..,..,..,8421,9804,11315,12257,12926,13257,13322,13585,13574,13646
" ","Kildare",..,..,..,..,..,..,..,..,1783,1908,2109,2341,2376,2516,2538,2612,2575,2595
" ","Kilkenny",..,..,..,..,..,..,..,..,1278,1297,1344,1451,1441,1447,1440,1411,1425,1404
" ","Laois",..,..,..,..,..,..,..,..,792,840,861,860,942,976,963,973,1054,1058
" ","Longford",..,..,..,..,..,..,..,..,539,571,609,604,603,587,610,652,598,584
" ","Louth",..,..,..,..,..,..,..,..,1776,1938,2238,2341,2135,2218,2149,2242,2234,2249
" ","Meath",..,..,..,..,..,..,..,..,1860,1932,2160,2269,2327,2331,2333,2374,2408,2388
" ","Offaly",..,..,..,..,..,..,..,..,811,863,949,1056,1075,1103,1167,1203,1169,1107
" ","Westmeath",..,..,..,..,..,..,..,..,1353,1494,1674,1806,1589,1453,1482,1628,1558,1507
" ","Wexford",..,..,..,..,..,..,..,..,1830,1841,2019,2148,2214,2279,2271,2271,2236,2272
" ","Wicklow",..,..,..,..,..,..,..,..,1301,1402,1564,1699,1768,1800,1861,1960,2000,1999
" ","Clare",..,..,..,..,..,..,..,..,1137,1189,1323,1411,1483,1589,1595,1601,1628,1594
" ","Cork",..,..,..,..,..,..,..,..,5552,5864,6233,6253,6381,6472,6566,6796,6957,7216
" ","Kerry",..,..,..,..,..,..,..,..,2221,2316,2578,2551,2534,2522,2522,2534,2428,2357
" ","Limerick",..,..,..,..,..,..,..,..,1859,1923,2159,2348,2322,2493,2490,2508,2524,2400
" ","Tipperary",..,..,..,..,..,..,..,..,1791,1805,2083,2225,2222,2363,2296,2295,2280,2251
" ","Waterford",..,..,..,..,..,..,..,..,2083,2271,2500,2576,2633,2667,2676,2644,2563,2466
" ","Galway",..,..,..,..,..,..,..,..,3593,3654,3838,4113,4146,3497,3444,3474,3482,3324
" ","Leitrim",..,..,..,..,..,..,..,..,507,520,566,535,545,526,547,558,567,530
" ","Mayo",..,..,..,..,..,..,..,..,2231,2224,2381,2424,2348,2252,2165,2185,2148,2047
" ","Roscommon",..,..,..,..,..,..,..,..,882,923,1077,1104,1036,1094,1058,1068,1048,1001
" ","Sligo",..,..,..,..,..,..,..,..,1161,1131,1264,1344,1352,1397,1352,1425,1414,1359
" ","Cavan",..,..,..,..,..,..,..,..,884,889,986,1023,1035,1055,1031,1022,1062,1037
" ","Donegal",..,..,..,..,..,..,..,..,2047,2320,2678,2701,2694,2788,2840,3046,3116,3158
" ","Monaghan",..,..,..,..,..,..,..,..,844,889,965,1003,1009,1031,1053,1042,1033,988
" ","Antrim",..,..,..,..,..,..,..,..,8,8,8,8,8,9,10,9,4,6
" ","Armagh",..,..,..,..,..,..,..,..,5,11,4,10,12,15,13,20,13,18
" ","Derry",..,..,..,..,..,..,..,..,9,11,14,13,17,18,18,16,24,34
" ","Down",..,..,..,..,..,..,..,..,30,51,39,36,36,63,67,90,69,43
" ","Fermanagh",..,..,..,..,..,..,..,..,4,7,10,11,7,9,14,17,16,18
" ","Tyrone",..,..,..,..,..,..,..,..,8,13,13,14,9,14,14,18,20,26
" ","Origin unknown",..,..,..,..,..,..,..,..,857,200,8,5,5,17,29,19,15,32
"Institutes of technology including Killybegs H.T.C./Tipperary Institute"
" ","All counties (2)",45342,47061,48652,50172,51738,50484,51506,50906,..,..,..,..,..,..,..,..,..,..
" ","Carlow",661,780,883,733,766,765,896,947,..,..,..,..,..,..,..,..,..,..
" ","Dublin",8276,8561,8677,9129,9494,9546,9321,9473,..,..,..,..,..,..,..,..,..,..
" ","Kildare",1640,1722,1766,1804,1840,1761,1814,1841,..,..,..,..,..,..,..,..,..,..
" ","Kilkenny",991,1058,1174,1263,1244,1196,1246,1218,..,..,..,..,..,..,..,..,..,..
" ","Laois",665,697,739,761,792,744,773,810,..,..,..,..,..,..,..,..,..,..
" ","Longford",509,524,540,526,599,578,590,568,..,..,..,..,..,..,..,..,..,..
" ","Louth",1541,1488,1613,1681,1817,1796,1805,1771,..,..,..,..,..,..,..,..,..,..
" ","Meath",1535,1539,1649,1704,1811,1909,1864,1925,..,..,..,..,..,..,..,..,..,..
" ","Offaly",879,889,934,968,909,868,918,866,..,..,..,..,..,..,..,..,..,..
" ","Westmeath",1087,1100,1128,1208,1284,1272,1390,1235,..,..,..,..,..,..,..,..,..,..
" ","Wexford",1652,1702,1725,1781,1861,1801,1818,1827,..,..,..,..,..,..,..,..,..,..
" ","Wicklow",1059,1135,1087,1107,1151,1202,1231,1280,..,..,..,..,..,..,..,..,..,..
" ","Clare",1169,1181,1280,1325,1398,1348,1392,1258,..,..,..,..,..,..,..,..,..,..
" ","Cork",5277,5483,5594,5546,5496,5338,5350,5259,..,..,..,..,..,..,..,..,..,..
" ","Kerry",2029,2139,2263,2367,2475,2537,2494,2401,..,..,..,..,..,..,..,..,..,..
" ","Limerick",1952,1988,2024,2114,2156,2139,2088,1996,..,..,..,..,..,..,..,..,..,..
" ","Tipperary",1922,2008,2020,2055,2071,2032,2119,1930,..,..,..,..,..,..,..,..,..,..
" ","Waterford",1515,1591,1689,1714,1796,1601,1728,1810,..,..,..,..,..,..,..,..,..,..
" ","Galway",2926,3006,3108,3131,3245,2960,3231,3212,..,..,..,..,..,..,..,..,..,..
" ","Leitrim",425,466,515,533,564,525,584,547,..,..,..,..,..,..,..,..,..,..
" ","Mayo",1934,2043,2081,2341,2443,2304,2421,2446,..,..,..,..,..,..,..,..,..,..
" ","Roscommon",973,960,1029,1097,1069,1043,1090,1061,..,..,..,..,..,..,..,..,..,..
" ","Sligo",1118,1135,1213,1212,1246,1213,1237,1199,..,..,..,..,..,..,..,..,..,..
" ","Cavan",794,888,899,978,1052,995,991,891,..,..,..,..,..,..,..,..,..,..
" ","Donegal",2008,2180,2206,2174,2227,2101,2204,2235,..,..,..,..,..,..,..,..,..,..
