"Domiciliary Origin of Students Enrolled in Full-time Third Level"
"Institutions (Number) by Type of Institution, Domiciliary Origin and"
"Year"

" "," ","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
" ","Slovakia",..,..,..,..,..,..,..,..,..,4,2,..,..,4,7,9,5,1
" ","United States",..,..,..,..,..,..,..,..,31,39,14,15,29,67,60,56,70,103
" ","Great Britain",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Northern Ireland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Africa (1)",..,..,..,..,..,..,..,..,68,126,101,83,73,95,116,152,185,189
" ","Asia (1)",..,..,..,..,..,..,..,..,487,461,297,302,928,1463,2055,2298,2588,2421
" ","Australasia (1)",..,..,..,..,..,..,..,..,2,1,2,..,..,4,5,8,10,8
" ","America (1)",..,..,..,..,..,..,..,..,12,8,7,7,15,15,587,699,483,81
" ","Other America (1)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","EU 27",..,..,..,..,..,..,..,..,50904,53752,59202,62295,62676,63252,63533,64969,65029,64598
" ","Other Europe (1)",..,..,..,..,..,..,..,..,25,31,20,22,16,32,47,65,62,58
