"Domiciliary Origin of Students Enrolled in Full-time Third Level"
"Institutions (Number) by Type of Institution, Domiciliary Origin and"
"Year"

" "," ","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Aided technology sector"
" ","All countries",..,..,..,..,..,..,..,..,51572,54464,59832,62885,63874,65039,66490,68324,68570,67636
" ","Origin unknown",..,..,..,..,..,..,..,..,30,38,183,150,130,83,50,37,78,78
" ","Austria",..,..,..,..,..,..,..,..,10,15,4,6,1,8,6,3,7,10
" ","Belgium",..,..,..,..,..,..,..,..,10,9,10,19,4,13,14,12,15,14
" ","Bulgaria",..,..,..,..,..,..,..,..,5,9,5,7,3,2,6,4,2,6
" ","Canada",..,..,..,..,..,..,..,..,13,8,6,11,7,28,37,40,65,100
" ","Cyprus",..,..,..,..,..,..,..,..,1,1,..,..,..,1,6,4,3,3
" ","Czech Republic",..,..,..,..,..,..,..,..,4,8,5,11,7,3,2,4,4,6
" ","Germany",..,..,..,..,..,..,..,..,65,95,74,72,50,51,74,78,65,69
" ","Denmark",..,..,..,..,..,..,..,..,1,4,6,4,2,1,1,2,1,1
" ","Estonia",..,..,..,..,..,..,..,..,..,1,..,..,2,3,5,5,3,4
" ","Spain",..,..,..,..,..,..,..,..,32,43,65,92,58,26,20,32,40,40
" ","Finland",..,..,..,..,..,..,..,..,8,12,12,25,15,6,2,4,5,2
" ","France",..,..,..,..,..,..,..,..,114,159,139,166,133,105,87,101,98,150
" ","United Kingdom",..,..,..,..,..,..,..,..,168,202,202,165,147,200,279,337,361,413
" ","Greece",..,..,..,..,..,..,..,..,5,4,5,6,7,7,3,3,6,5
" ","Croatia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,1
" ","Hungary",..,..,..,..,..,..,..,..,1,8,3,2,3,1,7,6,8,8
" ","Ireland",..,..,..,..,..,..,..,..,50405,53078,58618,61592,62174,62730,62813,64195,64203,63672
" ","Italy",..,..,..,..,..,..,..,..,14,30,12,68,31,36,37,41,48,60
" ","Lithuania",..,..,..,..,..,..,..,..,11,13,5,6,..,4,27,20,22,18
" ","Luxembourg",..,..,..,..,..,..,..,..,1,2,..,..,2,3,3,3,3,3
" ","Latvia",..,..,..,..,..,..,..,..,3,5,6,5,5,6,26,14,13,12
" ","Malta",..,..,..,..,..,..,..,..,2,1,..,2,2,2,2,..,0,..
" ","Netherlands",..,..,..,..,..,..,..,..,2,6,2,8,5,6,7,8,9,7
" ","Poland",..,..,..,..,..,..,..,..,28,25,17,19,11,21,79,70,75,61
" ","Portugal",..,..,..,..,..,..,..,..,3,2,2,2,2,5,6,5,10,8
" ","Romania",..,..,..,..,..,..,..,..,7,12,6,10,8,5,8,5,13,10
" ","Sweden",..,..,..,..,..,..,..,..,4,4,2,7,2,1,4,3,5,12
" ","Slovenia",..,..,..,..,..,..,..,..,..,..,..,1,2,2,2,1,2,2
