Counties,Student_Origin,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Countries,Study_Mode,Institute
Kildare,Mayo,120.0,126.0,146.0,149.0,146.0,120.0,117.0,110.0,105.0,108.0,114.0,118.0,116.0,119.0,134.0,145.0,147.0,130.0,0,0,0
Kildare,Roscommon,80.0,87.0,71.0,66.0,62.0,80.0,95.0,87.0,83.0,60.0,74.0,89.0,107.0,109.0,134.0,136.0,123.0,138.0,0,0,0
Kildare,Sligo,58.0,55.0,57.0,64.0,76.0,88.0,78.0,75.0,81.0,79.0,86.0,78.0,88.0,82.0,102.0,110.0,117.0,139.0,0,0,0
Kildare,Cavan,109.0,121.0,130.0,109.0,119.0,117.0,116.0,139.0,141.0,150.0,164.0,178.0,165.0,155.0,173.0,201.0,218.0,265.0,0,0,0
Kildare,Donegal,153.0,165.0,145.0,158.0,146.0,166.0,167.0,172.0,182.0,201.0,191.0,182.0,181.0,180.0,223.0,247.0,273.0,295.0,0,0,0
Kildare,Monaghan,93.0,99.0,98.0,86.0,90.0,90.0,98.0,113.0,130.0,125.0,147.0,161.0,165.0,158.0,170.0,180.0,184.0,156.0,0,0,0
Kildare,Antrim,4.0,3.0,2.0,6.0,4.0,7.0,9.0,8.0,8.0,4.0,8.0,4.0,6.0,4.0,5.0,6.0,8.0,3.0,0,0,0
Kildare,Armagh,8.0,2.0,8.0,4.0,5.0,4.0,2.0,3.0,6.0,3.0,2.0,3.0,7.0,0.0,1.0,1.0,1.0,0.0,0,0,0
Kildare,Derry,7.0,6.0,10.0,5.0,7.0,6.0,7.0,6.0,4.0,6.0,5.0,4.0,9.0,2.0,4.0,6.0,4.0,1.0,0,0,0
Kildare,Down,9.0,11.0,11.0,9.0,8.0,5.0,6.0,4.0,9.0,9.0,8.0,6.0,5.0,6.0,7.0,7.0,5.0,2.0,0,0,0
Kildare,Fermanagh,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,9.0,1.0,4.0,4.0,0.0,0.0,0,0,0
Kildare,Tyrone,8.0,11.0,3.0,6.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,1.0,2.0,2.0,5.0,4.0,2.0,1.0,0,0,0
Kildare,Origin unknown,0.0,0.0,28.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,0.0,0.0,0.0,0.0,0,0,0
Louth,All counties (2),2523.0,2268.0,2535.0,2585.0,2942.0,2934.0,3020.0,3132.0,3325.0,3648.0,4079.0,4317.0,3918.0,3899.0,3747.0,3853.0,3830.0,3761.0,0,0,0
Louth,Carlow,6.0,6.0,8.0,11.0,11.0,6.0,7.0,6.0,7.0,8.0,11.0,11.0,10.0,12.0,11.0,12.0,9.0,6.0,0,0,0
Louth,Dublin,429.0,320.0,339.0,274.0,296.0,296.0,300.0,321.0,350.0,373.0,397.0,469.0,441.0,444.0,429.0,459.0,456.0,465.0,0,0,0
Louth,Kildare,31.0,28.0,28.0,29.0,43.0,30.0,24.0,29.0,30.0,26.0,25.0,34.0,46.0,41.0,41.0,42.0,39.0,34.0,0,0,0
Louth,Kilkenny,4.0,5.0,4.0,6.0,2.0,6.0,7.0,9.0,15.0,18.0,17.0,21.0,11.0,11.0,9.0,9.0,12.0,14.0,0,0,0
Louth,Laois,6.0,7.0,6.0,6.0,7.0,8.0,6.0,5.0,8.0,4.0,7.0,5.0,8.0,8.0,7.0,9.0,9.0,8.0,0,0,0
