Study_Mode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Institute
Part-time Enrolments to Third Level Courses (Number),0,0,0,75,268,243,180,0,229,407,406,428,372,616,584,691,635,592,"St. Angela's College, Lough Gill, Co. Sligo"
Entrants to Third Level Courses (Number),109,88,92,91,91,129,158,119,131,121,105,100,131,152,185,179,177,196,"St. Angela's College, Lough Gill, Co. Sligo"
Full-time Enrolments to Third Level Courses (Number),101,100,100,99,101,77,48,22,0,0,0,0,0,0,0,0,0,0,"St. Catherine's College, Sion Hill, Co. Dublin"
Part-time Enrolments to Third Level Courses (Number),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"St. Catherine's College, Sion Hill, Co. Dublin"
Entrants to Third Level Courses (Number),26,27,29,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,"St. Catherine's College, Sion Hill, Co. Dublin"
Full-time Enrolments to Third Level Courses (Number),0,0,0,0,0,0,0,0,2224,2333,2786,2798,2838,3029,3038,3252,3458,3234,Other third level education institutions aided by DES
Part-time Enrolments to Third Level Courses (Number),0,0,0,0,0,0,0,0,2430,1943,1879,1728,1721,1703,1980,2001,3403,2996,Other third level education institutions aided by DES
Entrants to Third Level Courses (Number),0,0,0,0,0,0,0,0,638,667,731,735,735,729,856,885,880,786,Other third level education institutions aided by DES
Full-time Enrolments to Third Level Courses (Number),733,764,808,824,855,843,849,879,830,865,932,918,940,914,1035,1141,1198,984,"National College of Art & Design, Dublin"
Part-time Enrolments to Third Level Courses (Number),8,5,24,44,26,35,14,26,124,179,242,227,222,241,189,170,179,168,"National College of Art & Design, Dublin"
Entrants to Third Level Courses (Number),156,160,169,147,157,172,164,89,155,185,169,167,178,199,275,278,281,251,"National College of Art & Design, Dublin"
Full-time Enrolments to Third Level Courses (Number),800,795,900,1072,1005,1070,993,977,1065,1141,1322,1459,1539,1615,1712,1825,1979,2250,National College of Ireland
Part-time Enrolments to Third Level Courses (Number),3612,3177,2929,2919,2721,2882,664,0,2280,1745,1476,1342,1250,1426,1664,1706,2648,2828,National College of Ireland
Entrants to Third Level Courses (Number),364,279,348,459,304,359,342,382,412,421,491,488,480,485,541,566,556,535,National College of Ireland
Full-time Enrolments to Third Level Courses (Number),375,354,356,344,333,332,347,349,329,327,344,337,329,485,276,271,281,0,"Pontifical College, Maynooth, Co. Kildare"
Part-time Enrolments to Third Level Courses (Number),25,19,37,37,22,18,19,0,26,19,20,39,249,36,127,125,576,0,"Pontifical College, Maynooth, Co. Kildare"
Entrants to Third Level Courses (Number),147,74,72,76,94,83,75,76,71,61,68,80,77,45,40,41,43,0,"Pontifical College, Maynooth, Co. Kildare"
Full-time Enrolments to Third Level Courses (Number),0,0,0,0,0,0,0,0,0,0,188,84,30,15,15,15,0,0,"Milltown Institute, Ranelagh, Dublin"
Part-time Enrolments to Third Level Courses (Number),0,0,0,0,0,0,0,0,0,0,141,120,0,0,0,0,0,0,"Milltown Institute, Ranelagh, Dublin"
Entrants to Third Level Courses (Number),0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"Milltown Institute, Ranelagh, Dublin"
Full-time Enrolments to Third Level Courses (Number),2358,2377,2531,2854,2810,2492,2532,2516,0,0,0,0,0,0,0,0,0,0,Other colleges
Part-time Enrolments to Third Level Courses (Number),3660,3252,3097,3240,3229,3143,920,0,0,0,0,0,0,0,0,0,0,0,Other colleges
Entrants to Third Level Courses (Number),906,731,797,920,788,758,788,785,0,0,0,0,0,0,0,0,0,0,Other colleges
Full-time Enrolments to Third Level Courses (Number),66914,69254,72168,74922,77491,78970,80801,82488,0,0,0,0,0,0,0,0,0,0,Higher Education Authority
Part-time Enrolments to Third Level Courses (Number),11305,11313,13826,14036,13420,16166,15767,15607,0,0,0,0,0,0,0,0,0,0,Higher Education Authority
Entrants to Third Level Courses (Number),16505,16210,16654,16756,17454,17560,17792,19027,0,0,0,0,0,0,0,0,0,0,Higher Education Authority
Full-time Enrolments to Third Level Courses (Number),46424,48360,49890,51507,53586,52229,53386,53358,0,0,0,0,0,0,0,0,0,0,Institutes of Technology/Other Technology Colleges
Part-time Enrolments to Third Level Courses (Number),16504,17700,18042,17404,17351,15200,14667,0,0,0,0,0,0,0,0,0,0,0,Institutes of Technology/Other Technology Colleges
Entrants to Third Level Courses (Number),18401,18530,17768,17434,17287,16143,16711,16516,0,0,0,0,0,0,0,0,0,0,Institutes of Technology/Other Technology Colleges
Full-time Enrolments to Third Level Courses (Number),115696,119991,124589,129283,133887,133691,136719,138362,139134,146068,156973,161647,163068,164863,169254,173649,179850,181039,All colleges
Part-time Enrolments to Third Level Courses (Number),31469,32265,34965,34680,34000,34509,31354,0,33883,33027,32806,32622,33778,35778,36153,36975,39632,39625,All colleges
Entrants to Third Level Courses (Number),35812,35471,35219,35110,35529,34461,35291,36328,36480,39407,41290,41257,41367,41661,42253,42849,44043,43987,All colleges
