"","county","year","CO_concentration_value","CO_AQI","NO2_concentration_value","NO2_AQI","O3_concentration_value","O3_AQI","PM2.5_concentration_value","PM2.5_AQI","PM10_concentration_value","PM10_AQI","lattitude","longitude","Age_Group","Strata","Strata_Name","Numerator","NumeratorTransformed"
"577","San Joaquin",2016,0.378901734104046,4.17341040462428,17.5930985915493,16.156338028169,0.039536170212766,39.8836879432624,10.2439006024096,39.0263554216867,20.783055198973,19.186136071887,37.9507408985318,-121.268522670981,"18 and Over","Sex","Female",1577,7.36327958696304
"578","San Joaquin",2016,0.378901734104046,4.17341040462428,17.5930985915493,16.156338028169,0.039536170212766,39.8836879432624,10.2439006024096,39.0263554216867,20.783055198973,19.186136071887,37.9507408985318,-121.268522670981,"Under 18","Sex","Female",558,6.32435896238131
"579","San Joaquin",2016,0.378901734104046,4.17341040462428,17.5930985915493,16.156338028169,0.039536170212766,39.8836879432624,10.2439006024096,39.0263554216867,20.783055198973,19.186136071887,37.9507408985318,-121.268522670981,"All Ages","Sex","Male",2110,7.65444322647011
"580","San Joaquin",2016,0.378901734104046,4.17341040462428,17.5930985915493,16.156338028169,0.039536170212766,39.8836879432624,10.2439006024096,39.0263554216867,20.783055198973,19.186136071887,37.9507408985318,-121.268522670981,"All Ages","Sex","Female",2135,7.66622192566273
"581","San Joaquin",2016,0.378901734104046,4.17341040462428,17.5930985915493,16.156338028169,0.039536170212766,39.8836879432624,10.2439006024096,39.0263554216867,20.783055198973,19.186136071887,37.9507408985318,-121.268522670981,"18 and Over","Sex","Male",1081,6.98564181763921
"582","San Joaquin",2016,0.378901734104046,4.17341040462428,17.5930985915493,16.156338028169,0.039536170212766,39.8836879432624,10.2439006024096,39.0263554216867,20.783055198973,19.186136071887,37.9507408985318,-121.268522670981,"Under 18","Sex","Male",1029,6.93634273583405
"583","San Joaquin",2017,0.426959247648903,4.77742946708464,17.7201183431953,16.2707100591716,0.0404701492537313,39.5970149253731,10.7728349370836,39.3789785344189,25.4853503184713,22.9605095541401,37.9507408985318,-121.268522670981,"All Ages","Sex","Male",2437,7.79852305362521
"584","San Joaquin",2017,0.426959247648903,4.77742946708464,17.7201183431953,16.2707100591716,0.0404701492537313,39.5970149253731,10.7728349370836,39.3789785344189,25.4853503184713,22.9605095541401,37.9507408985318,-121.268522670981,"Under 18","Sex","Female",600,6.39692965521615
"585","San Joaquin",2017,0.426959247648903,4.77742946708464,17.7201183431953,16.2707100591716,0.0404701492537313,39.5970149253731,10.7728349370836,39.3789785344189,25.4853503184713,22.9605095541401,37.9507408985318,-121.268522670981,"Under 18","Sex","Male",1092,6.99576615630485
"586","San Joaquin",2017,0.426959247648903,4.77742946708464,17.7201183431953,16.2707100591716,0.0404701492537313,39.5970149253731,10.7728349370836,39.3789785344189,25.4853503184713,22.9605095541401,37.9507408985318,-121.268522670981,"All Ages","Sex","Female",2444,7.80139132029149
